,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
0,A guide to machine learning for biologists,"JG Greener, SM Kandathil, L Moffat… ",2022 ,Nature reviews Molecular …,nature.com, 1105,368.0
1,[PDF][PDF] Open-environment machine learning,ZH Zhou ,2022 ,National Science Review,academic.oup.com, 123,41.0
2,Machine learning and deep learning: A review of methods and applications,"K Sharifani, M Amini ",2023 ,World Information Technology and …,papers.ssrn.com, 270,135.0
3,[PDF][PDF] International conference on machine learning,"W Li, C Wang, G Cheng, Q Song ",2023 ,Transactions on machine learning …,par.nsf.gov, 1565,782.0
4,[BOOK][B] Probabilistic machine learning: an introduction,KP Murphy ,2022 ,2022 ,books.google.com, 1019,340.0
5,Machine learning for microbiologists,"F Asnicar, AM Thomas, A Passerini… ",2024 ,Nature Reviews …,nature.com, 50,50.0
6,Agricultural databases evaluation with machine learning procedure,"M Amini, A Rahmani ",2023 ,… Journal of Engineering and Applied Science,papers.ssrn.com, 149,74.0
7,[BOOK][B] Machine learning: the basics,A Jung ,2022 ,2022 ,books.google.com, 134,45.0
8,[BOOK][B] Probabilistic machine learning: Advanced topics,KP Murphy ,2023 ,2023 ,books.google.com, 344,172.0
9,[HTML][HTML] A review of the application of machine learning in water quality evaluation,"M Zhu, J Wang, X Yang, Y Zhang, L Zhang… ",2022 ,Eco-Environment & …,Elsevier, 290,97.0
10,Human-in-the-loop machine learning: a state of the art,"E Mosqueira-Rey, E Hernández-Pereira… ",2023 ,Artificial Intelligence …,Springer, 337,168.0
11,"Machine learning operations (mlops): Overview, definition, and architecture","D Kreuzberger, N Kühl, S Hirschl ",2023 ,IEEE access,ieeexplore.ieee.org, 399,200.0
12,Scientific machine learning benchmarks,"J Thiyagalingam, M Shankar, G Fox, T Hey ",2022 ,Nature Reviews Physics,nature.com, 101,34.0
13,Challenges in deploying machine learning: a survey of case studies,"A Paleyes, RG Urma, ND Lawrence ",2022 ,ACM computing surveys,dl.acm.org, 457,152.0
14,"Combustion machine learning: Principles, progress and prospects","M Ihme, WT Chung, AA Mishra ",2022 ,Progress in Energy and Combustion …,Elsevier, 163,54.0
15,Machine learning in the search for new fundamental physics,"G Karagiorgi, G Kasieczka, S Kravitz… ",2022 ,Nature Reviews …,nature.com, 141,47.0
16,[PDF][PDF] Intelligent metaphotonics empowered by machine learning,"S Krasikov, A Tranter, A Bogdanov… ",2022 ,Opto-Electronic …,researching.cn, 134,45.0
17,A survey of human-in-the-loop for machine learning,"X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He ",2022 ,Future Generation Computer …,Elsevier, 508,169.0
18,"Impact of machine learning on management, healthcare and agriculture","H Pallathadka, M Mustafa, DT Sanchez… ",2023 ,Materials Today …,Elsevier, 188,94.0
19,[BOOK][B] Designing machine learning systems,C Huyen ,2022 ,2022 ,books.google.com, 173,58.0
20,Financial machine learning,"B Kelly, D Xiu ",2023 ,Foundations and Trends® in Finance,nowpublishers.com, 44,22.0
21,A review of molecular representation in the age of machine learning,"DS Wigh, JM Goodman… ",2022 ,Wiley Interdisciplinary …,Wiley Online Library, 193,64.0
22,A machine learning tutorial for operational meteorology. Part I: Traditional machine learning,"RJ Chase, DR Harrison, A Burke… ",2022 ,Weather and …,journals.ametsoc.org, 55,18.0
23,[HTML][HTML] Machine learning for combustion,"L Zhou, Y Song, W Ji, H Wei ",2022 ,Energy and AI,Elsevier, 141,47.0
24,[BOOK][B] Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"S Raschka, YH Liu, V Mirjalili ",2022 ,2022 ,books.google.com, 164,55.0
25,"Understanding of machine learning with deep learning: architectures, workflow, applications and future directions",MM Taye ,2023 ,Computers,mdpi.com, 315,158.0
26,Machine learning in environmental research: common pitfalls and best practices,"JJ Zhu, M Yang, ZJ Ren ",2023 ,Environmental Science & Technology,ACS Publications, 134,67.0
27,Small data machine learning in materials science,"P Xu, X Ji, M Li, W Lu ",2023 ,npj Computational Materials,nature.com, 162,81.0
28,Pdebench: An extensive benchmark for scientific machine learning,"M Takamoto, T Praditia, R Leiteritz… ",2022 ,Advances in …,proceedings.neurips.cc, 144,48.0
29,Fairness in machine learning: A survey,"S Caton, C Haas ",2024 ,ACM Computing Surveys,dl.acm.org, 641,641.0
30,Machine learning methods for small data challenges in molecular science,"B Dou, Z Zhu, E Merkurjev, L Ke, L Chen… ",2023 ,Chemical …,ACS Publications, 114,57.0
31,"Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions","PP Liang, A Zadeh, LP Morency ",2022 ,arXiv preprint arXiv:2209.03430,arxiv.org, 138,46.0
32,OMLT: Optimization & machine learning toolkit,"F Ceccon, J Jalving, J Haddad, A Thebelt… ",2022 ,… of Machine Learning …,jmlr.org, 77,26.0
33,Underspecification presents challenges for credibility in modern machine learning,"A D'Amour, K Heller, D Moldovan, B Adlam… ",2022 ,… of Machine Learning …,jmlr.org, 748,249.0
34,Darts: User-friendly modern machine learning for time series,"J Herzen, F Lässig, SG Piazzetta, T Neuer… ",2022 ,… of Machine Learning …,jmlr.org, 219,73.0
35,Future of machine learning in geotechnics,"KK Phoon, W Zhang ",2023 ,… : Assessment and Management of Risk for …,Taylor & Francis, 161,80.0
36,Machine learning for a sustainable energy future,"Z Yao, Y Lum, A Johnston, LM Mejia-Mendoza… ",2023 ,Nature Reviews …,nature.com, 156,78.0
37,Participation is not a design fix for machine learning,"M Sloane, E Moss, O Awomolo, L Forlano ",2022 ,Proceedings of the 2nd ACM …,dl.acm.org, 209,70.0
38,Challenges and opportunities in quantum machine learning,"M Cerezo, G Verdon, HY Huang, L Cincio… ",2022 ,Nature Computational …,nature.com, 340,113.0
39,A short review on machine learning,TK Hua ,2022 ,Authorea Preprints,authorea.com, 77,26.0
40,Predictive analysis of heart diseases with machine learning approaches,"TR Ramesh, UK Lilhore, M Poongodi… ",2022 ,Malaysian Journal of …,jpmm.um.edu.my, 407,136.0
41,Findings on teaching machine learning in high school: A ten-year systematic literature review,"RM Martins, C Gresse Von Wangenheim ",2023 ,Informatics in Education,ceeol.com, 257,128.0
42,[BOOK][B] Mathematical analysis of machine learning algorithms,T Zhang ,2023 ,2023 ,books.google.com, 48,24.0
43,Utilizing machine learning and deep learning in cybesecurity: an innovative approach,"K Dushyant, G Muskan, Annu, A Gupta… ",2022 ,Cyber security and …,Wiley Online Library, 132,44.0
44,[HTML][HTML] Scope of machine learning in materials research—A review,"MH Mobarak, MA Mimona, MA Islam, N Hossain… ",2023 ,Applied Surface Science …,Elsevier, 37,18.0
45,Coronavirus disease (COVID-19) cases analysis using machine-learning applications,"AS Kwekha-Rashid, HN Abduljabbar, B Alhayani ",2023 ,Applied Nanoscience,Springer, 329,164.0
46,Roadmap on machine learning in electronic structure,"HJ Kulik, T Hammerschmidt, J Schmidt, S Botti… ",2022 ,Electronic …,iopscience.iop.org, 127,42.0
47,[BOOK][B] Trustworthy machine learning,KR Vashney ,2022 ,2022 ,trustworthymachinelearning.com, 86,29.0
48,Financial applications of machine learning: A literature review,"N Nazareth, YVR Reddy ",2023 ,Expert Systems with Applications,Elsevier, 103,52.0
49,Enhancing computational fluid dynamics with machine learning,"R Vinuesa, SL Brunton ",2022 ,Nature Computational Science,nature.com, 333,111.0
