,title,publication_info,cited_by
0,A guide to machine learning for biologists,"JG Greener, SM Kandathil, L Moffat… - Nature reviews Molecular …, 2022 - nature.com",Cited by 1105
1,[PDF][PDF] Open-environment machine learning,"ZH Zhou - National Science Review, 2022 - academic.oup.com",Cited by 123
2,Machine learning and deep learning: A review of methods and applications,"K Sharifani, M Amini - World Information Technology and …, 2023 - papers.ssrn.com",Cited by 270
3,[PDF][PDF] International conference on machine learning,"W Li, C Wang, G Cheng, Q Song - Transactions on machine learning …, 2023 - par.nsf.gov",Cited by 1565
4,[BOOK][B] Probabilistic machine learning: an introduction,KP Murphy - 2022 - books.google.com,Cited by 1019
5,Machine learning for microbiologists,"F Asnicar, AM Thomas, A Passerini… - Nature Reviews …, 2024 - nature.com",Cited by 50
6,Agricultural databases evaluation with machine learning procedure,"M Amini, A Rahmani - … Journal of Engineering and Applied Science, 2023 - papers.ssrn.com",Cited by 149
7,[BOOK][B] Machine learning: the basics,A Jung - 2022 - books.google.com,Cited by 134
8,[BOOK][B] Probabilistic machine learning: Advanced topics,KP Murphy - 2023 - books.google.com,Cited by 344
9,[HTML][HTML] A review of the application of machine learning in water quality evaluation,"M Zhu, J Wang, X Yang, Y Zhang, L Zhang… - Eco-Environment & …, 2022 - Elsevier",Cited by 290
10,Human-in-the-loop machine learning: a state of the art,"E Mosqueira-Rey, E Hernández-Pereira… - Artificial Intelligence …, 2023 - Springer",Cited by 337
11,"Machine learning operations (mlops): Overview, definition, and architecture","D Kreuzberger, N Kühl, S Hirschl - IEEE access, 2023 - ieeexplore.ieee.org",Cited by 399
12,Scientific machine learning benchmarks,"J Thiyagalingam, M Shankar, G Fox, T Hey - Nature Reviews Physics, 2022 - nature.com",Cited by 101
13,Challenges in deploying machine learning: a survey of case studies,"A Paleyes, RG Urma, ND Lawrence - ACM computing surveys, 2022 - dl.acm.org",Cited by 457
14,"Combustion machine learning: Principles, progress and prospects","M Ihme, WT Chung, AA Mishra - Progress in Energy and Combustion …, 2022 - Elsevier",Cited by 163
15,Machine learning in the search for new fundamental physics,"G Karagiorgi, G Kasieczka, S Kravitz… - Nature Reviews …, 2022 - nature.com",Cited by 141
16,[PDF][PDF] Intelligent metaphotonics empowered by machine learning,"S Krasikov, A Tranter, A Bogdanov… - Opto-Electronic …, 2022 - researching.cn",Cited by 134
17,A survey of human-in-the-loop for machine learning,"X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He - Future Generation Computer …, 2022 - Elsevier",Cited by 508
18,"Impact of machine learning on management, healthcare and agriculture","H Pallathadka, M Mustafa, DT Sanchez… - Materials Today …, 2023 - Elsevier",Cited by 188
19,[BOOK][B] Designing machine learning systems,C Huyen - 2022 - books.google.com,Cited by 173
20,Financial machine learning,"B Kelly, D Xiu - Foundations and Trends® in Finance, 2023 - nowpublishers.com",Cited by 44
21,A review of molecular representation in the age of machine learning,"DS Wigh, JM Goodman… - Wiley Interdisciplinary …, 2022 - Wiley Online Library",Cited by 193
22,A machine learning tutorial for operational meteorology. Part I: Traditional machine learning,"RJ Chase, DR Harrison, A Burke… - Weather and …, 2022 - journals.ametsoc.org",Cited by 55
23,[HTML][HTML] Machine learning for combustion,"L Zhou, Y Song, W Ji, H Wei - Energy and AI, 2022 - Elsevier",Cited by 141
24,[BOOK][B] Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"S Raschka, YH Liu, V Mirjalili - 2022 - books.google.com",Cited by 164
25,"Understanding of machine learning with deep learning: architectures, workflow, applications and future directions","MM Taye - Computers, 2023 - mdpi.com",Cited by 315
26,Machine learning in environmental research: common pitfalls and best practices,"JJ Zhu, M Yang, ZJ Ren - Environmental Science & Technology, 2023 - ACS Publications",Cited by 134
27,Small data machine learning in materials science,"P Xu, X Ji, M Li, W Lu - npj Computational Materials, 2023 - nature.com",Cited by 162
28,Pdebench: An extensive benchmark for scientific machine learning,"M Takamoto, T Praditia, R Leiteritz… - Advances in …, 2022 - proceedings.neurips.cc",Cited by 144
29,Fairness in machine learning: A survey,"S Caton, C Haas - ACM Computing Surveys, 2024 - dl.acm.org",Cited by 641
30,Machine learning methods for small data challenges in molecular science,"B Dou, Z Zhu, E Merkurjev, L Ke, L Chen… - Chemical …, 2023 - ACS Publications",Cited by 114
31,"Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions","PP Liang, A Zadeh, LP Morency - arXiv preprint arXiv:2209.03430, 2022 - arxiv.org",Cited by 138
32,OMLT: Optimization & machine learning toolkit,"F Ceccon, J Jalving, J Haddad, A Thebelt… - … of Machine Learning …, 2022 - jmlr.org",Cited by 77
33,Underspecification presents challenges for credibility in modern machine learning,"A D'Amour, K Heller, D Moldovan, B Adlam… - … of Machine Learning …, 2022 - jmlr.org",Cited by 748
34,Darts: User-friendly modern machine learning for time series,"J Herzen, F Lässig, SG Piazzetta, T Neuer… - … of Machine Learning …, 2022 - jmlr.org",Cited by 219
35,Future of machine learning in geotechnics,"KK Phoon, W Zhang - … : Assessment and Management of Risk for …, 2023 - Taylor & Francis",Cited by 161
36,Machine learning for a sustainable energy future,"Z Yao, Y Lum, A Johnston, LM Mejia-Mendoza… - Nature Reviews …, 2023 - nature.com",Cited by 156
