Text,Location/Date,Stars,Word Count
Kids like it so I keep it in stock for a quick grab and go through the day,"Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,18
"Kraft Deluxe Original Mac & Cheese is a classic comfort food that never disappoints. The creamy cheese sauce is rich and flavorful, and the pasta cooks up perfectly every time. It’s a quick and easy meal that’s perfect for busy weeknights or lazy weekends.While it may not be the healthiest option, it's undeniably delicious. A childhood favorite that still holds up today.","Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,62
Pretty good,"Reviewed in the United States on December 6, 2024",4.0 out of 5 stars,2
"like that the cheese is melted already, unfortunately its not the best taste. it has a chemical taste at the end . would prefer the normal box ones.","Reviewed in the United States on December 6, 2024",2.0 out of 5 stars,28
Comfort food,"Reviewed in the United States on December 4, 2024",5.0 out of 5 stars,2
"Anybody who would eat this garbage has to be like, starving. I can’t believe Kraft would go this low and distribute their deluxe brand M&C knowing how unhealthy it is. If you want the real thing just buy Kraft regular M&C,  It’s still a little salty but far better than the deluxe crap.","Reviewed in the United States on November 17, 2024",1.0 out of 5 stars,53
Kraft Deluxe Original Mac and Cheese never disappoints.,"Reviewed in the United States on November 17, 2024",5.0 out of 5 stars,8
Just the right sizes for a big family.,"Reviewed in the United States on November 4, 2024",5.0 out of 5 stars,8
"Best macaroni ever!!! Easy to make , great value for the 3 pack!","Reviewed in the United States on November 1, 2024",5.0 out of 5 stars,13
"I'm a person who works 52-54 hours a week. I don't have time to breathe let alone visit a grocery store, so finding things I can somewhat cook in a flash that don't require refrigerated items is a blessing. You don't need butter or milk for this mac and cheese, thank god. I can order condiments off Amazon if I wanna spice up the flavor, but I'm happy to have this plain, or with spicy sauce, or ketchup. Great if you have very little time and/or are heavily introverted and hate visiting grocery stores. 10/10.","Reviewed in the United States on October 26, 2024",5.0 out of 5 stars,95
Always in the pantry,"Reviewed in the United States on October 25, 2024",5.0 out of 5 stars,4
Too much sodium & not much cheese flavor.  Elbows are so tiny they only take 2-3 minutes to cook otherwise they get mushy.  Better and cheaper alternative would be to buy a plain box of elbows and a block of Velveeta cheese.,"Reviewed in the United States on October 24, 2024",2.0 out of 5 stars,42
These are so easy to make and cook in Three minutes. Taste great and the value size is great,"Reviewed in the United States on October 23, 2024",5.0 out of 5 stars,19
Of course the kids (and adults) love the kraft macaroni and cheese.We bought from Amazon because they were cheaper for the 3 packs then the grocery store!The kids would eat this every day if they could lol.,"Reviewed in the United States on October 16, 2024",5.0 out of 5 stars,37
"I love this Mac & Cheese ,for Lunch or for Supper as a side dish ...My kids & grandkids love this Deluxe Mac & Cheese too !!Add No Beans chilli for Chilli Mac. Or Tuna or skinless Chicken , cut in bite size pieces .Cheap & fast easy meals !","Reviewed in the United States on October 12, 2024",5.0 out of 5 stars,50
Best Mac and cheese,"Reviewed in the United States on October 10, 2024",5.0 out of 5 stars,4
"I bought this hoping for, as far as Mac n Cheese goes, a gourmet treat. I was disappointed that, in my opinion, it tastes worse than their regular.","Reviewed in the United States on October 3, 2024",1.0 out of 5 stars,28
"I have had a lot of cheap mac and cheese in my life, which means I don't consume a lot of kraft mac and cheese.  That being said, I had to have the lowest price point non-dry mac and cheese on Amazon.  Which was a 3-pack of kraft deluxe.  The pasta is so much more dense and the cheese sauce is more plentiful, more cheesy, and less salty than Velveeta or dollar store varieties.  Turned the usual dry mac and cheese casserole (tuna, peas, 2tbsp fine-minced onion), sometimes a one-sitting meal, into a much denser meal I eat a cupful at a time and find more enjoyable.The higher price is justified.  Feel free to lower it anytime, though, Kraft.","Reviewed in the United States on September 28, 2024",5.0 out of 5 stars,119
Kraft Mac n Cheese is yummy..,"Reviewed in the United States on September 28, 2024",5.0 out of 5 stars,6
My family loved this mac n cheese! The cheese sauce is yummy! And you don't need milk or butter! Perfect quick dinner side on a budget,"Reviewed in the United States on September 26, 2024",5.0 out of 5 stars,26
"Returned; family sized packaged, not powdered cheese. Creamy packets.  Wanted individual cups, with powdered cheese.","Reviewed in the United States on September 10, 2024",1.0 out of 5 stars,15
n/a,"Reviewed in the United States on September 4, 2024",4.0 out of 5 stars,1
My fave “boxed” Mac n cheesePerfect when no milk or butter in house.Add a pinch nutmeg and top with toasted breadcrumbs.  Taste homemade to me!,"Reviewed in the United States on August 28, 2024",5.0 out of 5 stars,25
When receiving this package. Two of the Kraft boxes were open and had to be thrown out.,"Reviewed in the United States on August 13, 2024",1.0 out of 5 stars,17
good,"Reviewed in the United States on August 12, 2024",5.0 out of 5 stars,1
I love this product. It is the original product my family remembers. It is difficult to find in grocery stores our area.,"Reviewed in the United States on August 5, 2024",5.0 out of 5 stars,22
Great camping food. Shelf stable. No butter or milk needed. Easy to make. Kid favorite,"Reviewed in the United States on August 1, 2024",5.0 out of 5 stars,15
last box made me very sick and they refused to cancel this one.  throwing them away when they arrive.,"Reviewed in the United States on July 30, 2024",1.0 out of 5 stars,19
"I grew up on basic Kraft mac, and Velveeta was the fancy stuff. I cannot believe I didn't try this until recently. It is HANDS DOWN the best of its type. Although technically, the sharp cheddar is my favorite, but even original cheddar is delicious. It is much better than others with the pouch cheese. If you haven't tried it, you need to!","Reviewed in the United States on July 30, 2024",5.0 out of 5 stars,63
This is a good price for mac & cheese. The kids love it.,"Reviewed in the United States on July 26, 2024",5.0 out of 5 stars,13
This stuff is really horrible and artificial tasting to me. Way worse than any mac should be.,"Reviewed in the United States on July 18, 2024",1.0 out of 5 stars,17
Thank you,"Reviewed in the United States on July 12, 2024",4.0 out of 5 stars,2
"Simply,.......... DELICIOUS 😋","Reviewed in the United States on June 26, 2024",5.0 out of 5 stars,3
came after the expiration date,"Reviewed in the United States on June 16, 2024",1.0 out of 5 stars,5
Vile disgusting product.,"Reviewed in the United States on June 11, 2024",1.0 out of 5 stars,3
"This has to be one of the best Mac and cheese I’ve had! Super creamy and easy to make. The cheese and of good quality, making it very delicious! If you haven’t already, definitely try them!","Reviewed in the United States on June 6, 2024",5.0 out of 5 stars,36
I have loved Kraft Mac and Cheese since I was a kid. But the noodle recipe/flavor ruined this for me. I ended up using the cheese packs with other noodles I already had. I threw the noodles that came with this out.,"Reviewed in the United States on May 28, 2024",3.0 out of 5 stars,42
