Text,Location/Date,Stars,Word Count
"Noticeable difference after 4 strips, and no sensitive issues even though I have sensitive teeth. Would repurchase","Reviewed in the United States on December 17, 2024",5.0 out of 5 stars,17
"These do work, but they don’t work miracles. I definitely noticed a difference but my teeth aren’t super white. There was never tooth sensitivity but the strips did irritate my gums a little bit. I just took a day off when they bothered me and it was fine. I recommend but on sale. The results I saw for full price isn’t worth it in my opinion. I got these for about 40% off for Black Friday.","Reviewed in the United States on December 17, 2024",4.0 out of 5 stars,76
These do really work! Every time I went to the store I would always forget to grab a box especially since I take a lot of headshots/photos for my business. These works!,"Reviewed in the United States on December 17, 2024",5.0 out of 5 stars,32
"I'm a senior citizen. I have some caps, so the teeth next to them look dark. These strips took care of that.","Reviewed in the United States on December 16, 2024",5.0 out of 5 stars,22
they work really well.,"Reviewed in the United States on December 16, 2024",5.0 out of 5 stars,4
Good control light weight less pressure to hit a solid shots,"Reviewed in the United States on December 15, 2024",5.0 out of 5 stars,11
Cost always puts out a good product.  I will order again if needed.,"Reviewed in the United States on December 15, 2024",5.0 out of 5 stars,13
This particular kind of strip burned my gums within 20 minutes of using them once. It’s surprising because I’ve used all different kinds before.,"Reviewed in the United States on December 14, 2024",1.0 out of 5 stars,24
I Use it for years,"Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,5
I used this product a week straight and saw a difference in my teeth! Use regularly. The straps are easy and stay on!,"Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,23
My dentist told me Crest strips are safe. I’ve used them for years! Amazon has the best prices for them.,"Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,20
It’s easy and really works.  Very satisfied,"Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,7
"The individual strips are labeled in French and English, package is English and designates they are Profesional strips.  More importantly, the individual packs are not labeled as to which strips they actually are (ie: Professional, Vivid…).  Will likely return.","Reviewed in the United States on December 13, 2024",1.0 out of 5 stars,39
"Definitely works but made my teeth super sensitive after repeated usage, I have found similar results from less invasive products","Reviewed in the United States on December 13, 2024",4.0 out of 5 stars,20
"Love it, hoping for more","Reviewed in the United States on December 13, 2024",4.0 out of 5 stars,5
"Almost 3 months on and off of using the product. If I was only consistent my teeth would have been brighter than what it is right now. Sometimes I would use it 3 days straight then 1 or 2 days not. Also I would only brush my teeth once a day because my gums would get bruises if I brush more. I never had this issue when I was younger, this just started not long ago maybe due to aging. (Please excuse my not so pleasant mouth. I have so much gums, crooked teeth. I just wanted to share this journey and give hope to others).","Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,106
Really didn't think this would work as I hv drank coke and coffee all my life!!!!  After using just 4 strips I was getting so many compliments about my teeth!!!!! I'm so glad I bought them!!!!,"Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,36
Love this product and used it for years. Highly recommend!! I get compliments on my white teeth on a regular basis.,"Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,21
"Made my teeth really sensitive. It would last for a whole day or more and be very bothersome - especially in the winter time with the cold air. I tried taking a break for a day or two, still did it, then a week or so, made them sensitive again. I wouldn't recommend if you are already experiencing sensitive teeth in any capacity or if you have had dental work. I would return for a refund but I honestly don't want to go through the hastle.","Reviewed in the United States on December 13, 2024",2.0 out of 5 stars,86
Efficiently whitens our families teeth,"Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,5
"I received the Crest 3D Whitestrips, Professional Effects [LEVELS 20 WHITER] Teeth Whitening Strip Kit, 44 Strips (22 Count Pack) a few weeks ago. I only use the Whitestrips once a week, but my teeth are noticeable whiter. The Amazon description and picture were accurate and exactly what I was sent. I'm very satisfied with these Whitestrips, and they're an economical way to whiten teeth as compared to having it professionally done at the dentist's office.","Reviewed in the United States on December 12, 2024",5.0 out of 5 stars,76
"I bought them during the Black Friday sale, really good price and quality, I love how they fit my teeth and it has been working well.","Reviewed in the United States on December 12, 2024",5.0 out of 5 stars,26
"These are great, especially on prime day!!","Reviewed in the United States on December 12, 2024",5.0 out of 5 stars,7
This did not work for me. I will not buy again.,"Reviewed in the United States on December 12, 2024",2.0 out of 5 stars,11
"They can only get your teeth so white. If you are looking for major changes, you should probably go to a professional.","Reviewed in the United States on December 12, 2024",4.0 out of 5 stars,22
"I have purchased these multiple times over the years and am always happy with them. I see results within a couple of uses. My only complaint is sometimes you get a bad whitestrip that doesn’t stick well, but that’s an exception and not the norm.","Reviewed in the United States on December 12, 2024",5.0 out of 5 stars,45
I have sensitive teeth and the strip was like glued on. It was hard to pull off it hurt. It did not whitened nothing and left the glue type stuff on my teeth,"Reviewed in the United States on December 12, 2024",1.0 out of 5 stars,33
Works great as always. Would repurchase,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,6
Perfect for the teeth,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,4
Did a great on my teeth,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,6
Got me looking good for wedding,"Reviewed in the United States on December 11, 2024",4.0 out of 5 stars,6
Crest has never let me down. Been using this product for at least 10 years  52 yo with a white smile,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,21
"First yes this product absolutely works to whiten your teeth.  No matter where you look this one works on regular teeth staining.  I have used ~ half of the package now (once per week) and see a noticeable difference in my teeth color.The only thing that users should be warned about is to be a bit careful if you have sensitive gums to make sure you don't get too much overlap from the base of the teeth onto the gums.  I have some sensitivity and I can notice when I get the strip too far onto the gums.  Otherwise these are great, easy to use, clean up nicely and would purchase them again.","Reviewed in the United States on December 11, 2024",4.0 out of 5 stars,113
I was taping the lid and wrapping this for a friend who’s a bride to be and when I opened the box I gasped. There is only 22 strips in the box instead of 44. I am very unpleased with this and shocked that it would be delivered with half of the strips inside. Plus these are expensive.,"Reviewed in the United States on December 11, 2024",1.0 out of 5 stars,58
