Text,Location/Date,Stars,Word Count
"My dogs love these! I stopped buying other brands that they didn,t eat. I also have 3 grand dogs and they really like them too. A little pricey tho.","Reviewed in the United States on December 17, 2024",5.0 out of 5 stars,29
Our dogs really like these treats.,"Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,6
I bought these as a special treat for my brother's dogs (ALL Huskies) and they really liked them. Completely devoured and looked everywhere around the house for more when the pack was gone. 4 paws up!,"Reviewed in the United States on December 12, 2024",5.0 out of 5 stars,36
"This is one of just a few treats our dog will eat. The quality is good. Price is a little bit  high, but it's worth it for our boy.","Reviewed in the United States on December 12, 2024",5.0 out of 5 stars,29
"My dachshund is pretty picky when it comes to dog treats, but he shows no hesitation with these.","Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,18
Good value. My dog will enjoy eating these.,"Reviewed in the United States on December 8, 2024",5.0 out of 5 stars,8
These taste really good and are extremely addicting.....atleast according to my dogs idk,"Reviewed in the United States on December 7, 2024",5.0 out of 5 stars,13
Neya was not able to tell me what she loved about them but she sure gobbled them down. They had to be hidden and parceled out or they would have been all gone.,"Reviewed in the United States on December 5, 2024",5.0 out of 5 stars,33
"These are the primary treat I give my 3 dogs. They love it and I've never had them turn up their noses like with some other treats. Every night before bed they know they'll get a Waffle if they go outside, potty and get back inside quickly. I recommend these.","Reviewed in the United States on December 4, 2024",5.0 out of 5 stars,50
I bought these to take to work as we have quite a few office dogs that come in. These have become quite a hit with all the pups.,"Reviewed in the United States on November 24, 2024",5.0 out of 5 stars,28
My very VERY picky dog (who doesn’t like peanut butter or sliced cheese) absolutely loves these treats! I need this every month 🥹 I’m glad I finally found something to make her jump for more.,"Reviewed in the United States on November 22, 2024",5.0 out of 5 stars,35
My dog enjoyed his treats we get them every other week,"Reviewed in the United States on November 22, 2024",5.0 out of 5 stars,11
"These are ""special"" treats and my dogs will sit, roll over, stand for one of them!","Reviewed in the United States on November 20, 2024",5.0 out of 5 stars,16
"I have been buying these dog treats for approximately 3 years and this past July I bought two bags because they were on special. I just opened up the second bag last night and there was white mold over all the treats. There were no holes on the bag and the expiration date was not till November of 2025. I have to throw the whole bag out now and I probably will not be buying anymore, it's a shame because my dogs really like these treats but I'm not taking a chance again.","Reviewed in the United States on November 19, 2024",2.0 out of 5 stars,93
My dogs love this item....,"Reviewed in the United States on November 19, 2024",5.0 out of 5 stars,5
My dogs love these treats,"Reviewed in the United States on November 18, 2024",5.0 out of 5 stars,5
"My dog is typically picky with treats but he loved these, I have no clue why they're basically just chicken flavored treats shaped in the idea of what a waffle looks like but they're delicious, soft and easy to tear into pieces for training or small treats if needed and they haven't given him any GI upset.","Reviewed in the United States on November 16, 2024",5.0 out of 5 stars,57
"My 16yr old Min Pin loves these.  He, among other issues, has very bad teeth and is a very picky eater.  I break these into small pieces and he just gobbles them up.  I've had to give several different treats I've tried because he just wouldn't/couldn't eat them but if I gave these away he'd ""bite"" me in the ankles! LOLHighly recommend for dogs with bad teeth and picky eaters.  I tried my first bag 9 days ago and already have to buy more!","Reviewed in the United States on November 14, 2024",5.0 out of 5 stars,84
My dogs werent really nuts about these,"Reviewed in the United States on November 14, 2024",3.0 out of 5 stars,7
"I don't have a dog, currently so I purchased theses treats for the neighbors new dog. It took a while for him to warm up to me, but now we have a great routine down. each time I go to his house, he greats me at the door, tail wagging. I give him one of these tasty treats and he runs off to eat it then comes back for a second. he only gets two, but that is perfect. his owner says he is very picky and doesn't like a lot of dog treats, but goes crazy whenever I show up with these. Great product, great price, and doggy approved for flavor.","Reviewed in the United States on November 13, 2024",5.0 out of 5 stars,112
A bit more expensive but she likes them . Softer and smaller then her other treats,"Reviewed in the United States on November 13, 2024",5.0 out of 5 stars,16
