Text,Location/Date,Stars,Word Count
Muy bueno para la muchacha,"Reviewed in the United States on December 19, 2024",5.0 out of 5 stars,5
"The speaker sounds a bit better than the past generation, and the sounds are noticeably clearer (or less muddy). Although I like both the old and new designs, I personally like this a bit more. It feels surprisingly high quality in the hand and is the obviously better deal when compared with a HomePod mini's price-to-performance ratio. I am a big fan of this Echo Dot generation's aesthetics. To me, it looks and feels premium--like a tech product I would leave purposely visible as part of my area, opposed to one I would manage hidden under my desk, behind a lamp, etc. My favorite new feature is the inclusion of a tap-to-play/pause function, and my biggest complaint is the lack of further music/media integration on the Alexa mobile app (as trying to play or queue up specific songs/playlists from Apple Music can be frustrating).Overall, you can't go wrong with this speaker for the price (and functionality it offers), especially when pairing two for a stereo pair.","Reviewed in the United States on December 19, 2024",5.0 out of 5 stars,166
Love this thing next to my bed. I can ask almost anything.,"Reviewed in the United States on December 19, 2024",4.0 out of 5 stars,12
"El Echo Dot es un dispositivo muy versátil. Crea rutinas con la app de Alexa, cómo encender las luces  y reproducir música al despertar. Puede cambiar su nombre de activación . Cada cual puede personalizar su experiencia vinculado con cuentas.Comecta dispositivos inteligentes como luces, termostatos, o cámaras compatibles con Alexa. Usa llamadas y envía mensajes","Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,55
Great product,"Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,2
Works well good sound best alexa so far... now if she would just give me correct answers,"Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,17
I am having difficulty getting the bluetooth to connect. I wanted to listen to my You tube connecting with the bluetooth. I haven't give up yet but so far not working as I had expected. If you use other music apps listed I think you will be happy with the speaker.,"Reviewed in the United States on December 18, 2024",3.0 out of 5 stars,51
So this black device came with a white cord. Was not expecting that at all. All my previous Echo devices came with a black cord. Seems like not the end of the world. I have a tower power strip that is pretty full. Sits on floor. The other black cords in there don't really show. Kind of blend in with the shadows near the floor. This one looks terrible and the white sticks out like a sore thumb and a beacon in the night. Looks really messy and tacky. I honestly would not have purchased this device if I had known it had a black cord. Never seen a white cord from Amazon. I should have looked at the pics more thoroughly perhaps. Given my past experience it never crossed my mind. Sorry I bought it and not going to use it. How does it work? I don't know. Not using it and leaving my old Echo thing there.,"Reviewed in the United States on December 18, 2024",1.0 out of 5 stars,159
I  absolutely love it . Perfect volume and easy set up,"Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,11
"Alexa is literally so unhelpful and incompetent. She can do like 2 things max. It's sad, pitiful, and a disgrace to the technological community. SHAME ON YOU BEZOS: your lies are empty promises. I'd have better luck asking my dishwasher to do anything.","Reviewed in the United States on December 18, 2024",1.0 out of 5 stars,43
Far outshadows earlier units. I now have 3 of these for different areas in the home.,"Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,16
Best ever,"Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,2
"For the price, the sound quality is impressive.  It's ability to hear you and respond while playing music is much better than previous versions.","Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,24
"Amazon keeps taking away the things you use most and now want you to get a subscription. I pay for prime and still they want more. I don’t want to pay for Amazon music just to hear brown noise at night. Last night  They took the “skill” away. Why can’t I buy just that one thing like they can on iTunes? Even if they let me use it again someday, it’s not worth the commercial asking  for more money (I don’t have) every time I want to use it.","Reviewed in the United States on December 18, 2024",1.0 out of 5 stars,89
Love it! For the price we are practically stealing it.Reminds me to take out trash every week it's great,"Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,19
"One of the most genuine pieces of garbage I’ve ever bought ; the probelm with the Amazon echo is the constant push advertisement. Do you wanna actually use the machine you spent your hard worked money on? Too bad cause there’s around 50 paywalls for literally everything; I do the most basic mechanics “Alexa turn on the light” after 2 months it stopped working and now when I turn on the light Jeffery Bozo shoves the fact I can have some celebrity from the 90’s who needs another paycheck ; say In their funny little voice how great it is I’m turning on my lights for 5 dollars a month! WOW !! And that’s not all, if I wanna rest my eyes after a long day and I ask Alexa to play some white noise ; 7/10 times she’s gonna be advertising “better white noise” and the advertisement is going to last 3 minutes each time unless you scream at the robot to stop , and play your white noise, and once a month it just straight up “can’t access it” . If you want an Alexa for 20 dollars, make sure you have an extra 200 for the 2 years this thing will work.","Reviewed in the United States on December 18, 2024",1.0 out of 5 stars,205
"Excelente, recomendado","Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,2
