Text,Location/Date,Stars,Word Count
Some of the easiest food to make that is truly heart healthy. Even better than the ones in the plastic containers I personally think.,"Reviewed in the United States on December 17, 2024",5.0 out of 5 stars,24
Buy this as soon as I’m running out ! These are a must have in our house,"Reviewed in the United States on December 16, 2024",5.0 out of 5 stars,17
Easy to make,"Reviewed in the United States on December 15, 2024",5.0 out of 5 stars,3
"i was sceptical to purchase food items online but i say let me risk it , was super impressed items came fast and doesnt expire until summer 2025 which is lots of time to use it. everything came sealed nothing broken or opened.","Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,43
This product is easy to use. Microwavable single serving size. It's what you expect for a mac and cheese product.,"Reviewed in the United States on December 14, 2024",4.0 out of 5 stars,20
Ordered the box of 18 single serve pouches. Box was delivered unopened but there were only 17 pouches in the box.,"Reviewed in the United States on December 14, 2024",3.0 out of 5 stars,21
"When I get home from work and am starving, a packet of this is my go to. I just don't have time to cook sometimes. I rarely eat processed foods but this is the exception. It's just the right amount of food for me and it's tasty, ready quickly, and I love it. Box of 18 is great. I like that it's individually wrapped but there's no plastic or Styrofoam cup included, which is good because it's not good to cook in those. It can go in the microwave in a mug but believe it or not, I make it on the stove. Ready in about 5 minutes!","Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,108
Happy with,"Reviewed in the United States on December 13, 2024",4.0 out of 5 stars,2
The price is great for the amount but I miss took the item for being in cups not small plastic packages that are about a half cup amount but still for the price it was a good deal,"Reviewed in the United States on December 12, 2024",2.0 out of 5 stars,38
It's quality product,"Reviewed in the United States on December 10, 2024",4.0 out of 5 stars,3
Multiple noodle packets not sealed and spilled all throughout the box. No returns or exchanges accepted on this product.,"Reviewed in the United States on December 9, 2024",2.0 out of 5 stars,19
"I just boil in a pan, drain the water, add the cheese. Couldn't be easy or more affordable.","Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,18
"I'm a big fan of Kraft Easy Mac Original Mac & Cheese! As a busy person, I appreciate the convenience of these microwavable packets. They're easy to prepare, and the mac and cheese is creamy and delicious. I love that I can have a comforting, satisfying meal in just a few minutes. My only reason for not giving it 5 stars is that the packets could be a bit larger, as I often find myself wanting more. However, the value for the price is great, and I'd definitely recommend Kraft Easy Mac to anyone looking for a quick and easy meal.","Reviewed in the United States on December 8, 2024",4.0 out of 5 stars,101
"I mistakenly thought these were the boxes of Mac & Cheese you can get but they are actually 6 small packets of noodles and dry cheese sauce.  Each one makes about six to ten spoonsful.  It is a tiny snack rather than a meal.  I made them like the directions said and didn't cover them when I put them in the microwave and it made a big mess - the starchy water got all over the microwave.  Then I covered them the next time and it didn't make a mess but the pasta was dry so had to add a little more water.  Truly, more trouble than it is worth and they didn't taste very good either.  Won't get again.","Reviewed in the United States on December 7, 2024",3.0 out of 5 stars,120
Easy to make.,"Reviewed in the United States on December 7, 2024",5.0 out of 5 stars,3
"I was disappointed in the content.Watery cheese sauce, too few macaroni.","Reviewed in the United States on December 6, 2024",2.0 out of 5 stars,11
When I picked this item it said six pack.  I'm thinking 6 boxes of macaroni and cheese.  Instead I get six LITTLE  packets.  Enough to feed 6 LITTLE kids.  Not enough for a group of people.  #annoyed,"Reviewed in the United States on December 3, 2024",5.0 out of 5 stars,37
They are small.timy songle.packets! Not boxes. Returning!,"Reviewed in the United States on December 2, 2024",2.0 out of 5 stars,7
"Single serve sizing, perfect for after school snack of fend for your self nights, easy to heat in microwave, kids love the taste.","Reviewed in the United States on December 1, 2024",5.0 out of 5 stars,23
"Makes a huge mess in the microwave. The water comes boiling out, even with a lid. All the water came out and made a giant mess. I ended up adding more water to my cheese because it would not mix. I am thinking to throw the whole box away.","Reviewed in the United States on November 30, 2024",1.0 out of 5 stars,49
Shipping box had been opened and retaped also the product box. Getting a refund,"Reviewed in the United States on November 30, 2024",1.0 out of 5 stars,14
Pictures are deceiving it isn’t in the prepackaged microwaveable bowls/cups it’s in packets that you pour into a bowl yourself.,"Reviewed in the United States on November 28, 2024",3.0 out of 5 stars,20
It took over half the box to figure out the best cooking time in the microwave. Either undercooked or overcooked and gummy. I’m at 2 packets 3 minutes add milk butter and cheese pouch cook for additional 30 seconds. Stove top is still the best,"Reviewed in the United States on November 27, 2024",4.0 out of 5 stars,45
We were very satisfied with our purchase. They are super easy to make & in under 2 minutes you’re enjoying some yummy mac n cheese!,"Reviewed in the United States on November 24, 2024",5.0 out of 5 stars,25
"not terrible but not great. personally id just recommend going to the costco or sams club and getting a bulk box. definitely a ton for 6$ but you can tell it’s not the same as the original stuff. it leaves an odd film on your bowls as well which is almost slimy, a bit offputting. tastes normal though i guess and textures about the same as well. if youre just looking for some cheap n easy stuff this is for you.","Reviewed in the United States on November 23, 2024",3.0 out of 5 stars,81
Purchased box was damaged had powder all through it and noodles all over the place probably damaged during shipping. They did free ship it and the second was fine.,"Reviewed in the United States on November 23, 2024",5.0 out of 5 stars,29
"Individual packed,easy to pack, and store , the taste is great","Reviewed in the United States on November 21, 2024",5.0 out of 5 stars,11
Dislike they don’t come in a microwave container.,"Reviewed in the United States on November 20, 2024",2.0 out of 5 stars,8
"This is a great value, price is on point. I love getting these for quick snacks for the kids and are awesome for teens!","Reviewed in the United States on November 19, 2024",5.0 out of 5 stars,24
"Taste is good and it is easy to make, it goes with just about everything, and is a nice change from rice or potatoes.","Reviewed in the United States on November 19, 2024",5.0 out of 5 stars,24
Taste good,"Reviewed in the United States on November 18, 2024",5.0 out of 5 stars,2
Tastes good and great value,"Reviewed in the United States on November 16, 2024",3.0 out of 5 stars,5
"Great for those times where are smack middle of the Venn Diagram of ""Lazy"" and ""Hungry""","Reviewed in the United States on November 16, 2024",5.0 out of 5 stars,16
How can you go wrong with mac and cheese,"Reviewed in the United States on November 16, 2024",5.0 out of 5 stars,9
"Did it exactly as directions said, did not expect much with water and no milk and butter, butit was GREAT just like that...next time will try  little milk and butter too like the boxed onescall for but great, and easy just the way it is!  Perfect light lunch or snack, or  2 in bigger bowlfor dinner!","Reviewed in the United States on November 15, 2024",5.0 out of 5 stars,56
I'm only giving this three stars. Delivery was great and the product is pretty good. I minus one star because it amazes me how in the world does a couple of packages in a very strong box end up broken. This is not the fault of delivery. The box itself is very strong. But I opened it up and one or two packages are always broken. How does that happen? Unless it's at the manufacturing end. They need to do a better job. Perhaps during packaging a machine is Miss adjusted and the plastic wrap gets ripped? But then the noodles would end up on the manufacturing floor not in the box? I see many comments here stating the same thing. Luckily it's an easy fix of just gathering the noodles up. Not a waste just an inconvenience. And at this price I would still buy them because they're a great nifty idea. As an adult male I need at least two packages to make a meal. So I get nine meals at this incredible price.,"Reviewed in the United States on November 15, 2024",3.0 out of 5 stars,176
no bowl. lots of mac and cheese,"Reviewed in the United States on November 15, 2024",5.0 out of 5 stars,7
food was goodit was not brought to house left at end of driveway found it next day,"Reviewed in the United States on November 15, 2024",5.0 out of 5 stars,17
"Taste is similar if not the same as the original box of Mac and cheese.  More for a child at least 8/9 years old because you have to get a microwave safe bowl, add water and then microwave.","Reviewed in the United States on November 15, 2024",5.0 out of 5 stars,38
Small individual packs. Very easy quick and convenient,"Reviewed in the United States on November 13, 2024",4.0 out of 5 stars,8
"3/18 packages were open inside box, spilling macaroni everywhere. From looks, did not get proper heat seal, or were sliced separating strip of pouches. Don’t really recommend.","Reviewed in the United States on November 12, 2024",3.0 out of 5 stars,27
I donate these to a local food bank on a subscription basis with Amazon and they are a favorite of those eating them because of the individual size and microwave preparation. It tastes the same as the stuff you make out of the box and eliminates having to cook it on a stovetop and then deal with storing any leftovers. It's a hit at the food bank so I'll keep sending it to them.,"Reviewed in the United States on November 12, 2024",5.0 out of 5 stars,74
"I was raised on Kraft Dinner and didn't care much for it.  I had ordered a box for my grandson to have something he liked when he comes over.  I wasn't to hungry one night and decided to try a pkg of this quick meal.  I was surprised it was really good, a lot better than I remembered.  I had to order another box for myself.","Reviewed in the United States on November 11, 2024",5.0 out of 5 stars,66
my kids love and i love that i can buy a big box,"Reviewed in the United States on November 10, 2024",5.0 out of 5 stars,13
id recommend this shipper fast shipping and great item,"Reviewed in the United States on November 9, 2024",5.0 out of 5 stars,9
No flavor.You must add extra cheese.,"Reviewed in the United States on November 9, 2024",1.0 out of 5 stars,6
