Text,Location/Date,Stars,Word Count
"Tastes and smells like chemicals, not like other toothpaste. Threw it all away.  Not made in USA and have some concerns about the quality control.","Reviewed in the United States on December 16, 2024",1.0 out of 5 stars,25
"The flavor is a hit with my little ones—they actually look forward to brushing their teeth now! I appreciate that it provides effective cavity protection while being gentle on their developing teeth. The packaging is also eye-catching and appealing to kids, which helps encourage them to brush regularly.","Reviewed in the United States on December 16, 2024",5.0 out of 5 stars,48
So cool to order toothpaste online for so cheap and get it so quickly! Thanks,"Reviewed in the United States on December 15, 2024",5.0 out of 5 stars,15
My child has had no complaints with wearing these the past couple days. They run true to size!,"Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,18
"This children’s toothpaste is specially designed for young kids. It has a mild, fruity flavor that makes brushing enjoyable. The formula is gentle on sensitive gums and teeth, fluoride-free, and safe if accidentally swallowed. It’s a great choice to build healthy brushing habits for children.","Reviewed in the United States on December 13, 2024",5.0 out of 5 stars,45
Perfect,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,1
"Checks every box!Fluoride, tasty, dentist approved, kid loved","Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,8
Kids love this tooth paste and it is dentist approved.  Cheaper than store.,"Reviewed in the United States on December 6, 2024",5.0 out of 5 stars,13
Packaged as three and arrived with one of the boxes open and missing contents.,"Reviewed in the United States on December 4, 2024",1.0 out of 5 stars,14
"My kids enjoy this toothpaste. They said it doesn’t taste terrible, cleans their teeth well and leaves their breath smelling fresh!","Reviewed in the United States on December 1, 2024",5.0 out of 5 stars,21
This is the only flavor toothpaste that my kids like!,"Reviewed in the United States on November 29, 2024",5.0 out of 5 stars,10
What the dentist gave the kids. They love it.  Win win.,"Reviewed in the United States on November 27, 2024",5.0 out of 5 stars,11
My grandkids did not like the taste of this toothpaste!,"Reviewed in the United States on November 24, 2024",3.0 out of 5 stars,10
Not kids toothpaste- same ingredients as adult versions,"Reviewed in the United States on November 22, 2024",1.0 out of 5 stars,8
My kids favorite toothpaste. They say it tastes good. And good value for the price.,"Reviewed in the United States on November 18, 2024",5.0 out of 5 stars,15
"It was 3 packs for 4.60, very easy on the pockets and child loves it","Reviewed in the United States on November 16, 2024",5.0 out of 5 stars,15
Good for stocking stuffers for teens!,"Reviewed in the United States on November 15, 2024",5.0 out of 5 stars,6
"Very fast delivery and good, great deals","Reviewed in the United States on November 13, 2024",5.0 out of 5 stars,7
Safe and kid friendly,"Reviewed in the United States on November 12, 2024",5.0 out of 5 stars,4
Will buy again,"Reviewed in the United States on November 11, 2024",5.0 out of 5 stars,3
My kids love this product and request only this toothpaste!,"Reviewed in the United States on November 6, 2024",5.0 out of 5 stars,10
My kids love this flavored toothpaste. It's the sparkly blue that tastes like bubblegum. Got it 36% off for 3 tubes at $4.97. Full size tubes. Cheaper in the end than the small dollar store tubes lol,"Reviewed in the United States on November 4, 2024",5.0 out of 5 stars,37
My son likes this kind of toothpaste. We were almost out and my local store didn’t have any so I looked on Amazon. They had an even better deal than my local store and it would get here before we ran out. Great value for the quantity.,"Reviewed in the United States on November 2, 2024",5.0 out of 5 stars,47
Hard to beat for the price for kids toothpaste.,"Reviewed in the United States on October 29, 2024",5.0 out of 5 stars,9
My kids like it. It gives breath freshness.,"Reviewed in the United States on October 28, 2024",5.0 out of 5 stars,8
"i am 72 years, and I’ve been using Sparkle for more that 30.  I have a very sensible mouth. Everything h the dentist prescribed makes my mouth raw.  I.always fall back on Sparkle child’s.  Thank you Crest","Reviewed in the United States on October 23, 2024",5.0 out of 5 stars,37
Great deal,"Reviewed in the United States on October 20, 2024",5.0 out of 5 stars,2
