Text,Location/Date,Stars,Word Count
Queso de polvo y no es rico,"Reviewed in the United States on December 8, 2024",1.0 out of 5 stars,7
You can't go wrong with Easy Mac! My boys love it!,"Reviewed in the United States on November 26, 2024",5.0 out of 5 stars,11
Love the fact that it cost the same for character pasta as well as the plain mac & cheese. Grandkids love these and watching paw patrol.,"Reviewed in the United States on November 14, 2024",5.0 out of 5 stars,26
"I bought these because of the shapes.  They are a perfect size, taste great, not mushy and quality great.  Kids loved them!","Reviewed in the United States on October 21, 2024",5.0 out of 5 stars,22
It taste absolutely great,"Reviewed in the United States on October 21, 2024",5.0 out of 5 stars,4
I really like the Kraft cups they taste just as good as regular Kraft for a good price & there a quick & easy meal for me to bring to work,"Reviewed in the United States on October 11, 2024",5.0 out of 5 stars,31
Very easy to cook! I bought them for my granddaughter when she comes over. They are a cute print and taste good.,"Reviewed in the United States on October 5, 2024",5.0 out of 5 stars,22
Kraft is the best. My Grandson loves the Sponge Bob shapes. Makes a fun meal.,"Reviewed in the United States on September 24, 2024",5.0 out of 5 stars,15
It's a universally acknowledged fact that the shapes just taste better that the typical macaroni shape. I'm not ashamed to say I have this on subscribe and save every two months as a small treat for myself.,"Reviewed in the United States on September 23, 2024",5.0 out of 5 stars,37
"I bought 3 different 4 packs of Paw patrol mac & cheese. Something is off.I don't know if they sat in the warehouse too long, or what. It smells chemical, doesn't taste like cheese. I tried 1 from each pack, will not give to my child.Thank goodness he told me they tasted funny.","Reviewed in the United States on September 13, 2024",1.0 out of 5 stars,53
Quick and easy,"Reviewed in the United States on September 9, 2024",5.0 out of 5 stars,3
I seem to make mush out of these every time I try them for my son. And I know how to cook!  Plus the amount it makes is so tiny!,"Reviewed in the United States on August 30, 2024",2.0 out of 5 stars,30
I got these and had left one in the microwave for awhile and it turned into a mushy paste so don't forget then in the microwave but they are pretty good I usually add some butter and a bit of milk and cheese,"Reviewed in the United States on August 25, 2024",5.0 out of 5 stars,43
My granddaughter absolutely loves her paw patrol lunch,"Reviewed in the United States on August 17, 2024",5.0 out of 5 stars,8
"Value for money, taste good, kids love it I am a return buyer","Reviewed in the United States on August 16, 2024",5.0 out of 5 stars,13
My kiddos love these and I love that they can make it themselves with little mess in the microwave.,"Reviewed in the United States on July 7, 2024",5.0 out of 5 stars,19
Easy to make and great for toddlers who are fans of Paw Patrol perfect size and great price!,"Reviewed in the United States on June 25, 2024",5.0 out of 5 stars,18
"Water always boils out, taste is not as good as the box","Reviewed in the United States on June 12, 2024",2.0 out of 5 stars,12
Great and on time,"Reviewed in the United States on June 7, 2024",5.0 out of 5 stars,4
I thought this was the original elbow macaroni but it’s a different shape. The microwave version turns the noodles into almost a paste. Not the right texture and the sauce is different too. :-P,"Reviewed in the United States on June 2, 2024",2.0 out of 5 stars,34
"Arrived fast, not expired, not damaged. What can I say other than it’s Kraft. My son loves Mac and cheese and is obsessed with paw patrol so it’s a WIN WIN for an easy quick meal.","Reviewed in the United States on May 28, 2024",5.0 out of 5 stars,36
Easy to prepare.  Really tasted processed.  Kraft products are usually good but these noodles and powder did not taste like food,"Reviewed in the United States on May 20, 2024",3.0 out of 5 stars,21
"Quick to make, very tasty","Reviewed in the United States on April 27, 2024",5.0 out of 5 stars,5
My slender daughter will eat these. She's very picky and I'm constantly trying to get calories into her. Pretty tasty and easy to make.,"Reviewed in the United States on April 19, 2024",5.0 out of 5 stars,24
Thank you,"Reviewed in the United States on April 6, 2024",5.0 out of 5 stars,2
Bought for my 18 yr old autistic son high functioning and he loved them as a child and still loves these now so had to buy him some lol. He ate them faster than they came in the house.,"Reviewed in the United States on April 4, 2024",5.0 out of 5 stars,39
my son loves these,"Reviewed in the United States on March 29, 2024",5.0 out of 5 stars,4
My kids loved this. Great for after school!,"Reviewed in the United States on March 27, 2024",5.0 out of 5 stars,8
kids love,"Reviewed in the United States on March 4, 2024",4.0 out of 5 stars,2
This is inedible garbage. Instead of noodles it has wheat check cereal type things. I ate one of the 4 that I purchased. I will throw the other 3 in the garbage.,"Reviewed in the United States on February 2, 2024",1.0 out of 5 stars,32
Food is good. the prices are a big issue!!! Check your prices at your local stores !!,"Reviewed in the United States on January 17, 2024",1.0 out of 5 stars,17
Great tasting. Only takes a few minutes to heat. Price was good.Will purchase again.,"Reviewed in the United States on November 12, 2023",5.0 out of 5 stars,14
No returns or replacements apparently.,"Reviewed in the United States on September 25, 2023",1.0 out of 5 stars,5
Delicious,"Reviewed in the United States on September 17, 2023",5.0 out of 5 stars,1
bag opened and product spilled,"Reviewed in the United States on September 13, 2023",3.0 out of 5 stars,5
Keep a four pack in the house. grand daughter loves it also,"Reviewed in the United States on September 9, 2023",5.0 out of 5 stars,12
"My grandson is a picky eater, but as soon as he saw the dogs from Paw Patrol, he was ready to eat and it was a hit !","Reviewed in the United States on August 30, 2023",5.0 out of 5 stars,28
Kids like it,"Reviewed in the United States on July 13, 2023",5.0 out of 5 stars,3
Taste good,"Reviewed in the United States on May 13, 2023",5.0 out of 5 stars,2
Doesn't get any easier,"Reviewed in the United States on May 12, 2023",5.0 out of 5 stars,4
This gets very mushy and that’s what makes it nasty as hell to eat,"Reviewed in the United States on May 10, 2023",1.0 out of 5 stars,14
My grands can make these when they need an alternative to the yucky stuff (and the parents approve!),"Reviewed in the United States on March 3, 2023",5.0 out of 5 stars,18
"My son loves Paw Patrol, so this was a fun find. I’ve noticed most of the “different” shaped pastas don’t hold up as well when you stir the cheese packet in. There’s lots of holes and thin areas, so they tend to break up and look mashed.Tip: Use a spoon, not a fork, to stir. They’ll hold their shape better! Also, try adding a little pat of butter to get rid of the “fake cheesy chemical” taste. I find it tastes more like boxed Mac & cheese that way. Yum! 😋","Reviewed in the United States on January 21, 2023",4.0 out of 5 stars,91
Easy to make. Kids love them,"Reviewed in the United States on January 17, 2023",5.0 out of 5 stars,6
